 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   12.4858    4.0000   15.5866   12.7510    4.9260    2.8902    3.5497    4.7296  5.4811E+00     -0.2725  1.1231E-02
   12.4989    4.0000   15.5866   12.6980    4.9267    2.8913    3.5493    4.7415  5.4066E+00     -0.2725  1.0769E-02
   12.5119    4.0000   15.5866   12.6447    4.9274    2.8925    3.5489    4.7535  5.3323E+00     -0.2725  1.0321E-02
   12.5250    4.0000   15.5866   12.5913    4.9281    2.8937    3.5484    4.7654  5.2580E+00     -0.2725  9.8853E-03
   12.5381    4.0000   15.5866   12.5376    4.9288    2.8949    3.5480    4.7774  5.1838E+00     -0.2725  9.4626E-03
   12.5512    4.0000   15.5866   12.4838    4.9295    2.8961    3.5476    4.7893  5.1096E+00     -0.2725  9.0526E-03
   12.5642    4.0000   15.5866   12.4298    4.9302    2.8973    3.5472    4.8012  5.0356E+00     -0.2725  8.6550E-03
   12.5773    4.0000   15.5866   12.3756    4.9309    2.8985    3.5467    4.8132  4.9616E+00     -0.2725  8.2697E-03
   12.5904    4.0000   15.5866   12.3212    4.9316    2.8997    3.5463    4.8251  4.8877E+00     -0.2725  7.8964E-03
   12.6034    4.0000   15.5866   12.2666    4.9323    2.9009    3.5459    4.8371  4.8140E+00     -0.2725  7.5350E-03
   12.6165    4.0000   15.5866   12.2118    4.9330    2.9021    3.5455    4.8490  4.7403E+00     -0.2725  7.1853E-03
   12.6296    4.0000   15.5866   12.1568    4.9337    2.9034    3.5450    4.8610  4.6668E+00     -0.2725  6.8470E-03
   12.6427    4.0000   15.5866   12.1016    4.9344    2.9046    3.5446    4.8729  4.5933E+00     -0.2725  6.5200E-03
   12.6557    4.0000   15.5866   12.0463    4.9351    2.9058    3.5441    4.8849  4.5200E+00     -0.2725  6.2040E-03
   12.6688    4.0000   15.5866   11.9907    4.9358    2.9070    3.5437    4.8968  4.4469E+00     -0.2725  5.8989E-03
   12.6819    4.0000   15.5866   11.9349    4.9365    2.9083    3.5433    4.9087  4.3738E+00     -0.2725  5.6045E-03
   12.6950    4.0000   15.5866   11.8789    4.9372    2.9095    3.5428    4.9207  4.3009E+00     -0.2725  5.3206E-03
   12.7080    4.0000   15.5866   11.8228    4.9379    2.9108    3.5424    4.9326  4.2281E+00     -0.2725  5.0469E-03
   12.7211    4.0000   15.5866   11.7664    4.9386    2.9120    3.5419    4.9446  4.1555E+00     -0.2725  4.7833E-03
   12.7342    4.0000   15.5866   11.7098    4.9393    2.9133    3.5415    4.9565  4.0831E+00     -0.2725  4.5295E-03
   12.7472    4.0000   15.5866   11.6531    4.9400    2.9145    3.5410    4.9685  4.0108E+00     -0.2725  4.2854E-03
   12.7603    4.0000   15.5866   11.5961    4.9408    2.9158    3.5406    4.9804  3.9387E+00     -0.2725  4.0508E-03
   12.7734    4.0000   15.5866   11.5389    4.9415    2.9171    3.5401    4.9924  3.8667E+00     -0.2725  3.8254E-03
   12.7865    4.0000   15.5866   11.4815    4.9422    2.9183    3.5396    5.0043  3.7950E+00     -0.2725  3.6090E-03
   12.7995    4.0000   15.5866   11.4239    4.9429    2.9196    3.5392    5.0162  3.7234E+00     -0.2725  3.4015E-03
   12.8126    4.0000   15.5866   11.3661    4.9436    2.9209    3.5387    5.0282  3.6521E+00     -0.2725  3.2026E-03
   12.8257    4.0000   15.5866   11.3081    4.9443    2.9222    3.5382    5.0401  3.5809E+00     -0.2725  3.0121E-03
   12.8388    4.0000   15.5866   11.2499    4.9450    2.9235    3.5378    5.0521  3.5100E+00     -0.2725  2.8299E-03
   12.8518    4.0000   15.5866   11.1915    4.9457    2.9248    3.5373    5.0640  3.4393E+00     -0.2725  2.6557E-03
   12.8649    4.0000   15.5866   11.1328    4.9464    2.9261    3.5368    5.0760  3.3688E+00     -0.2725  2.4893E-03
   12.8780    4.0000   15.5866   11.0740    4.9471    2.9274    3.5364    5.0879  3.2986E+00     -0.2725  2.3305E-03
   12.8910    4.0000   15.5866   11.0149    4.9478    2.9287    3.5359    5.0999  3.2287E+00     -0.2725  2.1791E-03
   12.9041    4.0000   15.5866   10.9557    4.9485    2.9300    3.5354    5.1118  3.1590E+00     -0.2725  2.0349E-03
   12.9172    4.0000   15.5866   10.8962    4.9492    2.9313    3.5349    5.1238  3.0895E+00     -0.2725  1.8977E-03
   12.9303    4.0000   15.5866   10.8365    4.9499    2.9326    3.5344    5.1357  3.0204E+00     -0.2725  1.7673E-03
   12.9433    4.0000   15.5866   10.7766    4.9506    2.9339    3.5340    5.1476  2.9515E+00     -0.2725  1.6435E-03
   12.9564    4.0000   15.5866   10.7165    4.9513    2.9352    3.5335    5.1596  2.8830E+00     -0.2725  1.5261E-03
   12.9695    4.0000   15.5866   10.6561    4.9520    2.9366    3.5330    5.1715  2.8148E+00     -0.2725  1.4149E-03
   12.9826    4.0000   15.5866   10.5956    4.9527    2.9379    3.5325    5.1835  2.7469E+00     -0.2725  1.3097E-03
   12.9933    5.0000   15.5866   10.5455    4.9533    2.9390    3.5321    5.1933  2.6912E+00     -0.2725  1.2279E-03
   12.9956    5.0000   15.5866   10.5352    4.9642    2.9471    3.5308    5.1933  2.6822E+00     -0.2725  1.1447E-03
   12.9977    5.0000   15.5866   10.5245    4.9752    2.9552    3.5295    5.1933  2.6730E+00     -0.2725  1.0641E-03
   12.9999    5.0000   15.5866   10.5136    4.9862    2.9633    3.5282    5.1933  2.6636E+00     -0.2725  9.8652E-04
   13.0020    5.0000   15.5866   10.5024    4.9971    2.9714    3.5269    5.1933  2.6539E+00     -0.2725  9.1239E-04
   13.0040    5.0000   15.5866   10.4909    5.0081    2.9795    3.5255    5.1933  2.6440E+00     -0.2725  8.4201E-04
   13.0060    5.0000   15.5866   10.4790    5.0191    2.9876    3.5242    5.1933  2.6339E+00     -0.2725  7.7564E-04
   13.0080    5.0000   15.5866   10.4669    5.0300    2.9957    3.5229    5.1933  2.6235E+00     -0.2725  7.1342E-04
   13.0099    5.0000   15.5866   10.4545    5.0410    3.0039    3.5216    5.1933  2.6128E+00     -0.2725  6.5544E-04
   13.0118    5.0000   15.5866   10.4417    5.0520    3.0120    3.5203    5.1933  2.6018E+00     -0.2725  6.0168E-04
   13.0137    5.0000   15.5866   10.4286    5.0629    3.0202    3.5189    5.1933  2.5906E+00     -0.2725  5.5206E-04
   13.0155    5.0000   15.5866   10.4151    5.0739    3.0283    3.5176    5.1933  2.5791E+00     -0.2725  5.0645E-04
   13.0173    5.0000   15.5866   10.4013    5.0849    3.0365    3.5163    5.1933  2.5673E+00     -0.2725  4.6468E-04
   13.0190    5.0000   15.5866   10.3871    5.0958    3.0446    3.5149    5.1933  2.5552E+00     -0.2725  4.2652E-04
   13.0207    5.0000   15.5866   10.3726    5.1068    3.0528    3.5136    5.1933  2.5428E+00     -0.2725  3.9175E-04
   13.0224    5.0000   15.5866   10.3576    5.1178    3.0610    3.5122    5.1933  2.5301E+00     -0.2725  3.6012E-04
   13.0240    5.0000   15.5866   10.3423    5.1287    3.0692    3.5109    5.1933  2.5171E+00     -0.2725  3.3138E-04
   13.0257    5.0000   15.5866   10.3265    5.1397    3.0774    3.5095    5.1933  2.5037E+00     -0.2725  3.0529E-04
   13.0272    5.0000   15.5866   10.3104    5.1507    3.0856    3.5082    5.1933  2.4900E+00     -0.2725  2.8161E-04
   13.0288    5.0000   15.5866   10.2938    5.1616    3.0938    3.5068    5.1933  2.4760E+00     -0.2725  2.6012E-04
   13.0303    5.0000   15.5866   10.2768    5.1726    3.1020    3.5054    5.1933  2.4617E+00     -0.2725  2.4061E-04
   13.0318    5.0000   15.5866   10.2593    5.1836    3.1102    3.5041    5.1933  2.4470E+00     -0.2725  2.2289E-04
   13.0332    5.0000   15.5866   10.2413    5.1945    3.1185    3.5027    5.1933  2.4319E+00     -0.2725  2.0677E-04
   13.0347    5.0000   15.5866   10.2229    5.2055    3.1267    3.5013    5.1933  2.4164E+00     -0.2725  1.9209E-04
   13.0361    5.0000   15.5866   10.2040    5.2165    3.1350    3.4999    5.1933  2.4006E+00     -0.2725  1.7871E-04
   13.0374    5.0000   15.5866   10.1846    5.2274    3.1432    3.4985    5.1933  2.3844E+00     -0.2725  1.6649E-04
   13.0388    5.0000   15.5866   10.1422    5.2384    3.1518    3.4970    5.1933  2.3491E+00     -0.2725  1.5342E-04
   13.0393    5.0000   15.5866   10.0408    5.2430    3.1567    3.4956    5.1933  2.2650E+00     -0.2725  1.4172E-04
   13.0397    5.0000   15.5866    9.9404    5.2465    3.1609    3.4945    5.1933  2.1826E+00     -0.2725  1.3164E-04
   13.0402    5.0000   15.5866    9.8410    5.2500    3.1649    3.4933    5.1933  2.1020E+00     -0.2725  1.2226E-04
   13.0402   13.0000   15.5866    1.8373    0.4780   -4.8539    6.3097    1.8373  1.0000E-10     13.0402  2.0000E+08
   13.1402   13.0000   15.5866    1.8373    0.4780   -4.8539    6.3097    1.8373  1.0000E-10     13.0402  2.0000E+08
   14.1402   13.0000   15.5866    1.8373   -1.6048   -4.8539    5.7890    1.8373  1.0000E-10     13.0402  2.0000E+08
   23.6100   13.0000   15.5866    1.8373   -3.5701   -4.8539    5.2977    1.8373  1.0000E-10     13.0402  2.0000E+08
   -1.0000   13.0000   15.5866    1.8373   -3.5701   -4.8539    5.2977    1.8373  1.0000E-10     13.0402  2.0000E+08
